"","num.trees","mtry","min.node.size","sample.fraction","mean_accuracy","sd_accuracy","min_accuracy","max_accuracy"
"23",1000,40,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"24",2000,40,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"25",500,60,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"26",1000,60,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"27",2000,60,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"28",500,100,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"29",1000,100,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"30",2000,100,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"31",500,200,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"32",1000,200,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"33",2000,200,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"34",500,500,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"35",1000,500,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"36",2000,500,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"37",500,20,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"38",1000,20,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"39",2000,20,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"40",500,40,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"41",1000,40,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"42",2000,40,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"43",500,60,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"44",1000,60,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"45",2000,60,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"46",500,100,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
